"Time (s) Run #1","Velocity, Blue (m/s) Run #1","Velocity, Red (m/s) Run #1","Time (s) Run #2","Velocity, Blue (m/s) Run #2","Velocity, Red (m/s) Run #2","Time (s) Run #3","Velocity, Blue (m/s) Run #3","Velocity, Red (m/s) Run #3","Time (s) Run #4","Velocity, Blue (m/s) Run #4","Velocity, Red (m/s) Run #4","Time (s) Run #5","Velocity, Blue (m/s) Run #5","Velocity, Red (m/s) Run #5","Time (s) Run #6","Velocity, Blue (m/s) Run #6","Velocity, Red (m/s) Run #6"
,,,,,,,,,,,,4.000,0.513,-0.293,4.000,0.530,-0.433
,,,,,,,,,,,,4.050,0.513,-0.293,4.050,0.530,-0.431
,,,,,,,,,,,,4.100,0.513,-0.294,4.100,0.528,-0.432
,,,,,,,,,,,,4.150,0.511,-0.295,4.150,0.527,-0.433
,,,,,,,,,,,,4.200,0.511,-0.296,4.200,0.527,-0.434
,,,,,,,,,,,,4.250,0.511,-0.296,4.250,0.526,-0.433
,,,,,,,,,,,,4.300,0.509,-0.296,4.300,0.525,-0.433
,,,,,,,,,,,,4.350,0.508,-0.296,4.350,0.523,-0.433
,,,,,,,,,,,,4.400,0.507,-0.297,4.400,0.523,-0.434
,,,,,,,,,,,,4.450,0.506,-0.298,,,
,,,,,,,,,,,,4.500,0.505,-0.299,,,
,,,,,,,,,,,,4.550,0.501,-0.300,,,
,,,,,,,,,,,,4.600,0.480,-0.300,,,
,,,,,,,,,,,,4.650,0.430,-0.299,,,
,,,,,,,,,,,,4.700,0.362,-0.300,,,
,,,,,,,,,,,,4.750,0.290,-0.301,,,
,,,,,,,,,,,,4.800,0.216,-0.302,,,
,,,,,,,,,,,,4.850,0.131,-0.303,,,
,,,,,,,,,,,,4.900,0.047,-0.303,,,
,,,,,,,,,,,,4.950,-0.016,-0.303,,,
,,,,,,,,,,,,5.000,-0.046,-0.302,,,
,,,,,,,,,,,,5.050,-0.055,-0.303,,,
,,,,,,,,,,,,5.100,-0.055,-0.304,,,
